subcategory_id,subcategory_code,category_id,category_code,slug,display_name_fr,display_name_fa_draft,fa_label_status,membership_rule_fa,display_order,status,taxonomy_version
ab2c9b91-c67f-59dd-84b9-e4a91a243206,SUB11,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,nouns_articles,Noms et articles,اسم‌ها و حروف تعریف,approved_project_translation_v1.0,جنس/جمع اسم، articles و رفتارهای اسم/گروه اسمی.,1,active,taxonomy-v0.9.0
091f8261-861f-515f-8399-8a423fc17673,SUB12,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,possessive_demonstrative,Possessifs et démonstratifs,ملکی و اشاره,approved_project_translation_v1.0,déterminants/pronoms possessifs و démonstratifs.,2,active,taxonomy-v0.9.0
5ddf1ffe-f8a5-5b64-bb71-2a3012fe77ed,SUB13,62650e69-e832-5945-b2f8-03aa0d9b724c,CAT05,indefinites,Indéfinis,نامعین‌ها,approved_project_translation_v1.0,déterminants/pronoms indéfinis و قطبیت مثبت/منفی مربوط.,3,active,taxonomy-v0.9.0
a51f2ce8-396f-5dad-824c-104415a0db1b,SUB14,84aebd88-ac6e-5ab2-bc0f-6b4265db82c6,CAT06,adjectives_agreement_position,"Adjectifs: accord, place et sens",صفت: تطابق، جایگاه و معنا,approved_project_translation_v1.0,صرف/تطابق صفت، جایگاه آن و تغییر معنا بر حسب جایگاه.,1,active,taxonomy-v0.9.0
0548a940-bd54-59e7-b45b-4a3c39d9cca3,SUB15,84aebd88-ac6e-5ab2-bc0f-6b4265db82c6,CAT06,adverbs,Adverbes,قیدها,approved_project_translation_v1.0,تشکیل، کاربرد و تمایز قید با صفت.,2,active,taxonomy-v0.9.0
7a8c6f04-4b66-5c80-9a9b-2e8b23b6eb94,SUB16,84aebd88-ac6e-5ab2-bc0f-6b4265db82c6,CAT06,comparison_degree,Comparaison et degré,مقایسه و درجه,approved_project_translation_v1.0,comparatif، superlatif و تمایزهای meilleur/mieux.,3,active,taxonomy-v0.9.0
2b58e783-26d2-5a97-be58-7cbd97b0f910,SUB17,d69e4e9c-e33c-5972-a65c-ffeedeb49685,CAT07,numbers,Nombres,اعداد,approved_project_translation_v1.0,اعداد اصلی/ترتیبی، کسر، املا و تلفظ عدد.,1,active,taxonomy-v0.9.0
1a56c401-3cb8-5901-902f-cf5adbc3080e,SUB18,d69e4e9c-e33c-5972-a65c-ffeedeb49685,CAT07,quantity_expression,Expression de la quantité,بیان کمیت,approved_project_translation_v1.0,partitif، مقدار + de، نفی و article در بیان کمیت.,2,active,taxonomy-v0.9.0
a65bc236-a8de-5a13-ab61-cb05cc8a9be0,SUB19,9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,spatial_reference,Repérage spatial,مکان‌یابی,approved_project_translation_v1.0,کشور/شهر/منطقه، جهت، مبدأ و روابط مکانی.,1,active,taxonomy-v0.9.0
40fa4fe6-ae02-536a-82e6-6797211e138e,SUB20,9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,temporal_reference,Repérage temporel et durée,زمان‌یابی و مدت,approved_project_translation_v1.0,تاریخ/ساعت، مدت، مبدأ زمانی و chronology.,2,active,taxonomy-v0.9.0
44ff9cba-804b-5e80-9130-c054cd9bd9df,SUB21,9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,space_time_relations,Relations espace-temps,روابط مکان و زمان,approved_project_translation_v1.0,"à, de…à, jusqu’à, à partir de, vers/environ, entre/parmi در چارچوب مشترک مکان/زمان.",3,active,taxonomy-v0.9.0
f8cd3891-a319-5601-83ed-3cd3f2a43a83,SUB22,9d68a1e9-3848-52b2-a74c-586c3e694e73,CAT08,verb_preposition_complementation,Prépositions et rection verbale,حروف اضافه و وابستگی فعل,approved_project_translation_v1.0,de/à/Ø با فعل، اسم یا صفت و infinitif.,4,active,taxonomy-v0.9.0
e44f2466-3d37-5fe6-9e85-f02b6d689a4c,SUB23,6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,negation_interrogation,Négation et interrogation,نفی و پرسش,approved_project_translation_v1.0,درس‌هایی که ساخت‌های منفی و/یا پرسشی محور اصلی آن‌هاست.,1,active,taxonomy-v0.9.0
c575cce2-fbae-5194-afe4-bacfd0927dba,SUB24,6226bbab-7245-5914-8dfe-94ea4ff473c5,CAT09,presentation_existence,"Présentation, identification et existence",معرفی، شناسایی و وجود,approved_project_translation_v1.0,c’est/il est/il y a وقتی محور، ساخت جمله برای معرفی/شناسایی/وجود است.,2,active,taxonomy-v0.9.0
2f4d8d9c-285c-59bc-b224-e1ec1edbcee1,SUB25,4174226c-e09f-52e4-a8c9-d8916772074c,CAT10,indirect_speech,Discours indirect,گفتار غیرمستقیم,approved_project_translation_v1.0,گفتار غیرمستقیم در présent و passé، با قواعد تبدیل و concordance.,1,active,taxonomy-v0.9.0
6163cd64-56ba-5418-8e34-3cabb8dc8810,SUB26,74d8363b-f18d-5422-a578-fdcec7e7dbee,CAT11,condition_hypothesis,Condition et hypothèse,شرط و فرض,approved_project_translation_v1.0,si/quand و الگوهای فرضی در حال/آینده/گذشته.,1,active,taxonomy-v0.9.0
ffa308ea-ab12-5a11-9d12-5dca8f81f3d9,SUB27,74d8363b-f18d-5422-a578-fdcec7e7dbee,CAT11,logical_relations,Relations logiques et connecteurs,روابط منطقی و پیونددهنده‌ها,approved_project_translation_v1.0,علت، نتیجه، هدف، تقابل و concession با connecteurs/conjonctions.,2,active,taxonomy-v0.9.0
