lesson_id,lesson_no,title_fr_official,category_code,subcategory_code,final_weight_pct,weight_model_version,profile,status
8b0727a3-b94e-4d9d-bb86-9a0045b8685a,14,LE TEMPS (1),CAT08,SUB20,1.87,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
b182d62b-44dc-4893-b88c-75ef935c0111,15,LES INDÉFINIS,CAT05,SUB13,1.72,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
619fe3c8-586f-4038-8ea0-e5ad5085412d,16,LES VERBES en « -ER » au PRÉSENT,CAT01,SUB02,2.46,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
e3b8941a-3506-4903-b9f5-ede88a288def,17,LE TEMPS (2),CAT08,SUB20,1.87,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
ec290ee6-f705-4b74-98db-7e4079c54d60,18,L’ADVERBE,CAT06,SUB15,2.05,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
cb9bdbbf-0955-46a6-b979-69203ff4d988,19,L’EXPRESSION de la QUANTITÉ,CAT07,SUB18,1.92,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
dd8aa1ed-067c-4e17-a9db-10d3b630688a,20,LE PRONOM « EN »,CAT04,SUB08,2.02,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
a7d4b7ab-babf-44fd-8d1b-09d273f60704,21,LA SITUATION dans l’ESPACE (2),CAT08,SUB19,1.41,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
526ffab9-fc9b-4221-997e-e57dfbf9694a,22,LE COMPARATIF et LE SUPERLATIF,CAT06,SUB16,1.70,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
327c43bc-8757-4e51-aff0-9c04775c57cf,23,LE VERBE « ALLER »,CAT01,SUB01,2.10,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
e3b468de-4bc2-4b96-b4dc-0bfa0c3d5a85,24,LE PRONOM « Y »,CAT04,SUB08,1.79,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
aece8fe7-c303-4257-a531-a3d6e0f242de,25,LA SITUATION dans l’ESPACE et le TEMPS (3),CAT08,SUB21,1.64,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
6ad0bf53-cab8-4037-8548-6e73441d1620,26,"LES VERBES en « -IR », « -OIR » et « -RE » au PRÉSENT",CAT01,SUB02,2.48,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
e5bfdde7-6889-4829-ad65-06a572af5f97,27,LES VERBES PRONOMINAUX,CAT01,SUB03,2.02,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
2ad099b6-e9f4-4b96-8883-d88977fc94b4,28,LES PRONOMS COMPLÉMENTS,CAT04,SUB08,2.28,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
0259af3a-8df3-4f28-ad02-62a99368c409,29,LES PRONOMS TONIQUES,CAT04,SUB09,1.75,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
b24408b6-c9b4-4fbc-9b92-ad4d2ae13876,30,L’IMPÉRATIF,CAT03,SUB06,1.52,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
83d883bf-5242-4dc2-bed6-dad1585746db,31,LE CONDITIONNEL (1),CAT03,SUB06,1.93,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
4ec05ffb-8465-4c5c-9a50-d67136ad0472,32,LES RELATIFS,CAT04,SUB10,2.19,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
1854197b-634e-4db7-893c-7e9b6bcbf004,33,L’INTERROGATION (2),CAT09,SUB23,2.13,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
7a8563ae-ac42-49d2-bddd-42140c4e5245,34,LA NÉGATION (2),CAT09,SUB23,2.09,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
83287154-f6ce-4595-a2b2-17537cb9908d,35,LE DISCOURS INDIRECT au PRÉSENT,CAT10,SUB25,1.75,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
03b37cc5-75e7-4209-9322-1f6401df4973,36,LE GÉRONDIF,CAT03,SUB07,1.60,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
7a66cb3a-470c-4ae3-ae32-325cf327c9f9,37,LES PRÉPOSITIONS et LES VERBES,CAT08,SUB22,2.19,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
d138adce-c139-454e-b3a3-1ff9464bd0e8,38,LES VERBES de DÉPLACEMENT,CAT01,SUB03,1.74,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
2cc8ffec-0888-40b2-bb6b-23bb8ebcd4f0,39,LE FUTUR PROCHE,CAT02,SUB05,1.78,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
a2303764-b3c6-4a78-a5eb-287adffcd970,40,LE PASSÉ COMPOSÉ,CAT02,SUB04,2.44,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
61d3b6b5-dd58-4ca4-b78d-521013ae2461,41,LE TEMPS (3),CAT08,SUB20,1.90,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
79d5da54-9d06-473a-a60c-1c4cb74c38e1,42,LE PASSIF,CAT03,SUB07,1.72,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
1a7369fc-5f96-48eb-9433-a91853b0f074,43,L’IMPARFAIT,CAT02,SUB04,2.41,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
7b460b08-fac3-4f7c-bec0-0e1863fbcca3,44,LE PLUS-QUE-PARFAIT,CAT02,SUB04,1.86,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
ea5e63b4-af5e-438a-b50c-a3d9678296b6,45,LE DISCOURS INDIRECT au PASSÉ,CAT10,SUB25,1.57,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
fa21c54c-eda9-434c-9b4c-af896a3dfde0,46,"« VENIR de », « ÊTRE en TRAIN de », « ÊTRE sur le POINT de »",CAT03,SUB07,1.47,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
9452d2bf-3b54-4cbe-9410-2a607d9d9903,47,LE FUTUR SIMPLE,CAT02,SUB05,2.16,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
c8b25314-e54b-4ec5-9a31-41e6af6cfab4,48,LE FUTUR ANTÉRIEUR,CAT02,SUB05,1.35,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
8492c636-b6f3-4368-97df-c4e0387ff946,49,LE CONDITIONNEL (2),CAT03,SUB06,2.04,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
7292614b-ad5b-496f-836e-1ca257cb80cc,50,LES HYPOTHÈSES,CAT11,SUB26,2.19,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
5a20dade-1724-4c8a-887c-14dee287c1a2,51,LE SUBJONCTIF,CAT03,SUB06,2.24,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
f0a5d28c-4b03-42c8-bd92-0708737ab3f1,52,LES RELATIONS LOGIQUES,CAT11,SUB27,2.23,tcf-core-weight-v0.9.0,TCF_CORE_CANADA_COMPATIBLE,ACCEPTED_REFERENCE_GOVERNANCE_RESOLVED
