lesson_id,lesson_no,title_fr_official,system_short_title,grammar_family_draft,grammar_family_status,book_pages,pdf_pages,source_ref,extraction_status,subtopic_count,stable_id_policy,content_version,source_basis
83d883bf-5242-4dc2-bed6-dad1585746db,31,LE CONDITIONNEL (1),conditionnel_1,mood_conditional,draft_stage1__final_taxonomy_stage2,136;137,138;139,Lesson 31; printed pp. 136-137; PDF pp. 138-139,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
4ec05ffb-8465-4c5c-9a50-d67136ad0472,32,LES RELATIFS,relatifs,relative_pronoun,draft_stage1__final_taxonomy_stage2,140;141;142;143;144;145;146;147,142;143;144;145;146;147;148;149,Lesson 32; printed pp. 140-147; PDF pp. 142-149,extracted_owner_approved,8,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
1854197b-634e-4db7-893c-7e9b6bcbf004,33,L’INTERROGATION (2),interrogation_2,sentence_structure,draft_stage1__final_taxonomy_stage2,148;149;150;151,150;151;152;153,Lesson 33; printed pp. 148-151; PDF pp. 150-153,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
7a8563ae-ac42-49d2-bddd-42140c4e5245,34,LA NÉGATION (2),negation_2,sentence_structure,draft_stage1__final_taxonomy_stage2,152;153;154;155,154;155;156;157,Lesson 34; printed pp. 152-155; PDF pp. 154-157,extracted_owner_approved,8,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
83287154-f6ce-4595-a2b2-17537cb9908d,35,LE DISCOURS INDIRECT au PRÉSENT,discours_indirect_present,reported_speech,draft_stage1__final_taxonomy_stage2,156;157,158;159,Lesson 35; printed pp. 156-157; PDF pp. 158-159,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
03b37cc5-75e7-4209-9322-1f6401df4973,36,LE GÉRONDIF,gerondif,nonfinite_verb,draft_stage1__final_taxonomy_stage2,158;159,160;161,Lesson 36; printed pp. 158-159; PDF pp. 160-161,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
7a66cb3a-470c-4ae3-ae32-325cf327c9f9,37,LES PRÉPOSITIONS et LES VERBES,prepositions_verbes,verb_complementation,draft_stage1__final_taxonomy_stage2,160;161;162;163,162;163;164;165,Lesson 37; printed pp. 160-163; PDF pp. 162-165,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
d138adce-c139-454e-b3a3-1ff9464bd0e8,38,LES VERBES de DÉPLACEMENT,verbes_deplacement,verb_semantics,draft_stage1__final_taxonomy_stage2,164;165,166;167,Lesson 38; printed pp. 164-165; PDF pp. 166-167,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
2cc8ffec-0888-40b2-bb6b-23bb8ebcd4f0,39,LE FUTUR PROCHE,futur_proche,tense_future,draft_stage1__final_taxonomy_stage2,166;167;168;169;170;171;172;173,168;169;170;171;172;173;174;175,Lesson 39; printed pp. 166-173; PDF pp. 168-175,extracted_owner_approved,8,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
a2303764-b3c6-4a78-a5eb-287adffcd970,40,LE PASSÉ COMPOSÉ,passe_compose,tense_past,draft_stage1__final_taxonomy_stage2,174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197,176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199,Lesson 40; printed pp. 174-197; PDF pp. 176-199,extracted_owner_approved,12,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
61d3b6b5-dd58-4ca4-b78d-521013ae2461,41,LE TEMPS (3),temps_3,time_expression,draft_stage1__final_taxonomy_stage2,198;199;200;201;202;203,200;201;202;203;204;205,Lesson 41; printed pp. 198-203; PDF pp. 200-205,extracted_owner_approved,7,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
79d5da54-9d06-473a-a60c-1c4cb74c38e1,42,LE PASSIF,passif,voice,draft_stage1__final_taxonomy_stage2,204;205,206;207,Lesson 42; printed pp. 204-205; PDF pp. 206-207,extracted_owner_approved,5,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
1a7369fc-5f96-48eb-9433-a91853b0f074,43,L’IMPARFAIT,imparfait,tense_past,draft_stage1__final_taxonomy_stage2,206;207;208;209;210;211;212;213,208;209;210;211;212;213;214;215,Lesson 43; printed pp. 206-213; PDF pp. 208-215,extracted_owner_approved,7,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
7b460b08-fac3-4f7c-bec0-0e1863fbcca3,44,LE PLUS-QUE-PARFAIT,plus_que_parfait,tense_past,draft_stage1__final_taxonomy_stage2,214;215,216;217,Lesson 44; printed pp. 214-215; PDF pp. 216-217,extracted_owner_approved,3,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
ea5e63b4-af5e-438a-b50c-a3d9678296b6,45,LE DISCOURS INDIRECT au PASSÉ,discours_indirect_passe,reported_speech,draft_stage1__final_taxonomy_stage2,216;217;218;219,218;219;220;221,Lesson 45; printed pp. 216-219; PDF pp. 218-221,extracted_owner_approved,4,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
fa21c54c-eda9-434c-9b4c-af896a3dfde0,46,"« VENIR de », « ÊTRE en TRAIN de », « ÊTRE sur le POINT de »",aspect_periphrases,aspect,draft_stage1__final_taxonomy_stage2,222;223,224;225,Lesson 46; printed pp. 222-223; PDF pp. 224-225,extracted_owner_approved,3,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
9452d2bf-3b54-4cbe-9410-2a607d9d9903,47,LE FUTUR SIMPLE,futur_simple,tense_future,draft_stage1__final_taxonomy_stage2,224;225;226;227,226;227;228;229,Lesson 47; printed pp. 224-227; PDF pp. 226-229,extracted_owner_approved,7,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
c8b25314-e54b-4ec5-9a31-41e6af6cfab4,48,LE FUTUR ANTÉRIEUR,futur_anterieur,tense_future,draft_stage1__final_taxonomy_stage2,228;229,230;231,Lesson 48; printed pp. 228-229; PDF pp. 230-231,extracted_owner_approved,3,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
8492c636-b6f3-4368-97df-c4e0387ff946,49,LE CONDITIONNEL (2),conditionnel_2,mood_conditional,draft_stage1__final_taxonomy_stage2,230;231,232;233,Lesson 49; printed pp. 230-231; PDF pp. 232-233,extracted_owner_approved,6,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
7292614b-ad5b-496f-836e-1ca257cb80cc,50,LES HYPOTHÈSES,hypotheses,condition_hypothesis,draft_stage1__final_taxonomy_stage2,232;233;234;235;236;237,234;235;236;237;238;239,Lesson 50; printed pp. 232-237; PDF pp. 234-239,extracted_owner_approved,8,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
5a20dade-1724-4c8a-887c-14dee287c1a2,51,LE SUBJONCTIF,subjonctif,mood_subjunctive,draft_stage1__final_taxonomy_stage2,238;239;240;241;242;243;244;245;246;247;248;249,240;241;242;243;244;245;246;247;248;249;250;251,Lesson 51; printed pp. 238-249; PDF pp. 240-251,extracted_owner_approved,20,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
f0a5d28c-4b03-42c8-bd92-0708737ab3f1,52,LES RELATIONS LOGIQUES,relations_logiques,connectors_logic,draft_stage1__final_taxonomy_stage2,250;251;252;253;254;255,252;253;254;255;256;257,Lesson 52; printed pp. 250-255; PDF pp. 252-257,extracted_owner_approved,16,opaque_uuid_immutable,stage1-v1.0,uploaded_book_only
